videoId,videoTitle,topic_col,mean_topic_probability,topic_id,topic_label
AbtyFah6fPY,"Melbourne, Australia 🇦🇺 - The Most Livable City in the World? | Victoria, Australia Travel Guide",topic_0_prob,0.22662334039081983,0,general_liveability_and_city_amenities
FSOnKtQa-j8,Does Sydney have better public transport than Melbourne? (ft. Philip Mallis),topic_0_prob,0.0791154315305919,0,general_liveability_and_city_amenities
HRP1t-P0Ljw,Starving to pay rent: The brutal reality of the cost of living crisis | 60 Minutes Australia,topic_0_prob,0.06147232680000882,0,general_liveability_and_city_amenities
MzgZV6CKDL4,But there’s a harbour! #australia #sydney #melbourne #sydneylife #melbournecity,topic_0_prob,0.1404332182488448,0,general_liveability_and_city_amenities
aUJBIrElRSk,🇦🇺 What Makes MELBOURNE Better Than SYDNEY In AUSTRALIA? 🤔,topic_0_prob,0.12819732153456287,0,general_liveability_and_city_amenities
dVbSXe4Nc34,Why Melbourne Feels Different Than Sydney,topic_0_prob,0.12773232913935784,0,general_liveability_and_city_amenities
ea14oVK8XLw,Sydney and Melbourne Compared,topic_0_prob,0.15835378196172223,0,general_liveability_and_city_amenities
iwiAxppxGaU,"The Comprehensive ""Metro"" Network of Melbourne",topic_0_prob,0.12799107403814722,0,general_liveability_and_city_amenities
oUqavm7KhGg,What Is Livability? A Field Report from Melbourne,topic_0_prob,0.13568129013231423,0,general_liveability_and_city_amenities
y9bkNPS02O4,Should you live in Melbourne? | Pros and cons of living in Melbourne,topic_0_prob,0.14743487872983874,0,general_liveability_and_city_amenities
AbtyFah6fPY,"Melbourne, Australia 🇦🇺 - The Most Livable City in the World? | Victoria, Australia Travel Guide",topic_1_prob,0.1436346180676857,1,city_comparison_weather_and_lifestyle
FSOnKtQa-j8,Does Sydney have better public transport than Melbourne? (ft. Philip Mallis),topic_1_prob,0.11703919655169101,1,city_comparison_weather_and_lifestyle
HRP1t-P0Ljw,Starving to pay rent: The brutal reality of the cost of living crisis | 60 Minutes Australia,topic_1_prob,0.07656833166541517,1,city_comparison_weather_and_lifestyle
MzgZV6CKDL4,But there’s a harbour! #australia #sydney #melbourne #sydneylife #melbournecity,topic_1_prob,0.34364118936335625,1,city_comparison_weather_and_lifestyle
aUJBIrElRSk,🇦🇺 What Makes MELBOURNE Better Than SYDNEY In AUSTRALIA? 🤔,topic_1_prob,0.48130104496847087,1,city_comparison_weather_and_lifestyle
dVbSXe4Nc34,Why Melbourne Feels Different Than Sydney,topic_1_prob,0.3240977924045905,1,city_comparison_weather_and_lifestyle
ea14oVK8XLw,Sydney and Melbourne Compared,topic_1_prob,0.23535113092239002,1,city_comparison_weather_and_lifestyle
iwiAxppxGaU,"The Comprehensive ""Metro"" Network of Melbourne",topic_1_prob,0.07650078944442833,1,city_comparison_weather_and_lifestyle
oUqavm7KhGg,What Is Livability? A Field Report from Melbourne,topic_1_prob,0.14119952993718135,1,city_comparison_weather_and_lifestyle
y9bkNPS02O4,Should you live in Melbourne? | Pros and cons of living in Melbourne,topic_1_prob,0.24256279948361245,1,city_comparison_weather_and_lifestyle
AbtyFah6fPY,"Melbourne, Australia 🇦🇺 - The Most Livable City in the World? | Victoria, Australia Travel Guide",topic_2_prob,0.060475603800847544,2,public_transport_and_rail_infrastructure
FSOnKtQa-j8,Does Sydney have better public transport than Melbourne? (ft. Philip Mallis),topic_2_prob,0.5284018492136164,2,public_transport_and_rail_infrastructure
HRP1t-P0Ljw,Starving to pay rent: The brutal reality of the cost of living crisis | 60 Minutes Australia,topic_2_prob,0.06304149601066757,2,public_transport_and_rail_infrastructure
MzgZV6CKDL4,But there’s a harbour! #australia #sydney #melbourne #sydneylife #melbournecity,topic_2_prob,0.06291242697742326,2,public_transport_and_rail_infrastructure
aUJBIrElRSk,🇦🇺 What Makes MELBOURNE Better Than SYDNEY In AUSTRALIA? 🤔,topic_2_prob,0.051721552212718964,2,public_transport_and_rail_infrastructure
dVbSXe4Nc34,Why Melbourne Feels Different Than Sydney,topic_2_prob,0.05081450944226748,2,public_transport_and_rail_infrastructure
ea14oVK8XLw,Sydney and Melbourne Compared,topic_2_prob,0.06788120962617451,2,public_transport_and_rail_infrastructure
iwiAxppxGaU,"The Comprehensive ""Metro"" Network of Melbourne",topic_2_prob,0.41796353919202217,2,public_transport_and_rail_infrastructure
oUqavm7KhGg,What Is Livability? A Field Report from Melbourne,topic_2_prob,0.24609097208802908,2,public_transport_and_rail_infrastructure
y9bkNPS02O4,Should you live in Melbourne? | Pros and cons of living in Melbourne,topic_2_prob,0.0579084515306299,2,public_transport_and_rail_infrastructure
AbtyFah6fPY,"Melbourne, Australia 🇦🇺 - The Most Livable City in the World? | Victoria, Australia Travel Guide",topic_3_prob,0.13494643011529503,3,cost_of_living_rent_and_household_pressure
FSOnKtQa-j8,Does Sydney have better public transport than Melbourne? (ft. Philip Mallis),topic_3_prob,0.0998350169568222,3,cost_of_living_rent_and_household_pressure
HRP1t-P0Ljw,Starving to pay rent: The brutal reality of the cost of living crisis | 60 Minutes Australia,topic_3_prob,0.51636015352296,3,cost_of_living_rent_and_household_pressure
MzgZV6CKDL4,But there’s a harbour! #australia #sydney #melbourne #sydneylife #melbournecity,topic_3_prob,0.10530120083853804,3,cost_of_living_rent_and_household_pressure
aUJBIrElRSk,🇦🇺 What Makes MELBOURNE Better Than SYDNEY In AUSTRALIA? 🤔,topic_3_prob,0.11289677809286609,3,cost_of_living_rent_and_household_pressure
dVbSXe4Nc34,Why Melbourne Feels Different Than Sydney,topic_3_prob,0.10096078643173464,3,cost_of_living_rent_and_household_pressure
ea14oVK8XLw,Sydney and Melbourne Compared,topic_3_prob,0.17168020087578814,3,cost_of_living_rent_and_household_pressure
iwiAxppxGaU,"The Comprehensive ""Metro"" Network of Melbourne",topic_3_prob,0.09057791909620466,3,cost_of_living_rent_and_household_pressure
oUqavm7KhGg,What Is Livability? A Field Report from Melbourne,topic_3_prob,0.1707365063476184,3,cost_of_living_rent_and_household_pressure
y9bkNPS02O4,Should you live in Melbourne? | Pros and cons of living in Melbourne,topic_3_prob,0.1021943469161231,3,cost_of_living_rent_and_household_pressure
AbtyFah6fPY,"Melbourne, Australia 🇦🇺 - The Most Livable City in the World? | Victoria, Australia Travel Guide",topic_4_prob,0.2608644965173109,4,argumentative_city_identity_debate
FSOnKtQa-j8,Does Sydney have better public transport than Melbourne? (ft. Philip Mallis),topic_4_prob,0.08537116321556708,4,argumentative_city_identity_debate
HRP1t-P0Ljw,Starving to pay rent: The brutal reality of the cost of living crisis | 60 Minutes Australia,topic_4_prob,0.1694418405828369,4,argumentative_city_identity_debate
MzgZV6CKDL4,But there’s a harbour! #australia #sydney #melbourne #sydneylife #melbournecity,topic_4_prob,0.2221996678980931,4,argumentative_city_identity_debate
aUJBIrElRSk,🇦🇺 What Makes MELBOURNE Better Than SYDNEY In AUSTRALIA? 🤔,topic_4_prob,0.1305823234307304,4,argumentative_city_identity_debate
dVbSXe4Nc34,Why Melbourne Feels Different Than Sydney,topic_4_prob,0.087922710130401,4,argumentative_city_identity_debate
ea14oVK8XLw,Sydney and Melbourne Compared,topic_4_prob,0.24195763885195506,4,argumentative_city_identity_debate
iwiAxppxGaU,"The Comprehensive ""Metro"" Network of Melbourne",topic_4_prob,0.10991405332530135,4,argumentative_city_identity_debate
oUqavm7KhGg,What Is Livability? A Field Report from Melbourne,topic_4_prob,0.14292232838217295,4,argumentative_city_identity_debate
y9bkNPS02O4,Should you live in Melbourne? | Pros and cons of living in Melbourne,topic_4_prob,0.13507092322237493,4,argumentative_city_identity_debate
AbtyFah6fPY,"Melbourne, Australia 🇦🇺 - The Most Livable City in the World? | Victoria, Australia Travel Guide",topic_5_prob,0.17345551110804097,5,creator_audience_conversational_replies
FSOnKtQa-j8,Does Sydney have better public transport than Melbourne? (ft. Philip Mallis),topic_5_prob,0.09023734253171137,5,creator_audience_conversational_replies
HRP1t-P0Ljw,Starving to pay rent: The brutal reality of the cost of living crisis | 60 Minutes Australia,topic_5_prob,0.11311585141811155,5,creator_audience_conversational_replies
MzgZV6CKDL4,But there’s a harbour! #australia #sydney #melbourne #sydneylife #melbournecity,topic_5_prob,0.12551229667374458,5,creator_audience_conversational_replies
aUJBIrElRSk,🇦🇺 What Makes MELBOURNE Better Than SYDNEY In AUSTRALIA? 🤔,topic_5_prob,0.09530097976065086,5,creator_audience_conversational_replies
dVbSXe4Nc34,Why Melbourne Feels Different Than Sydney,topic_5_prob,0.3084718724516486,5,creator_audience_conversational_replies
ea14oVK8XLw,Sydney and Melbourne Compared,topic_5_prob,0.12477603776197002,5,creator_audience_conversational_replies
iwiAxppxGaU,"The Comprehensive ""Metro"" Network of Melbourne",topic_5_prob,0.17705262490389626,5,creator_audience_conversational_replies
oUqavm7KhGg,What Is Livability? A Field Report from Melbourne,topic_5_prob,0.163369373112684,5,creator_audience_conversational_replies
y9bkNPS02O4,Should you live in Melbourne? | Pros and cons of living in Melbourne,topic_5_prob,0.31482860011742086,5,creator_audience_conversational_replies
